IvsII	IIvsIII	IvsIII	stage8	stage18	stage21	stage25	stage27	stage35	ave	stageSpecific
ENSMUSG00000052396	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000030826	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020326	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000062210	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000037206	0	0	0	1	0	0	0	1	0	0	1
ENSMUSG00000116581	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000071226	0	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000018474	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000047844	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066705	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090386	1	0	1	0	1	1	0	0	1	1	0
ENSMUSG00000023021	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059901	1	0	1	0	0	0	0	1	1	1	0
ENSMUSG00000054814	0	0	0	0	0	0	0	1	0	0	1
ENSMUSG00000016262	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000053137	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000007908	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000002489	0	0	0	0	1	0	0	0	0	0	1
ENSMUSG00000003062	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024150	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003438	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026872	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001131	0	0	0	1	0	0	0	0	0	0	1
ENSMUSG00000001240	0	0	0	0	0	1	0	0	1	0	1
ENSMUSG00000020218	1	1	1	1	1	1	1	0	0	1	0
ENSMUSG00000032744	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000030782	0	0	1	0	0	0	1	0	1	1	0
ENSMUSG00000020734	1	0	1	1	0	0	0	0	0	1	0
ENSMUSG00000038525	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000024846	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000086224	1	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000028678	0	0	0	0	0	0	0	0	0	0	0
