average	somiteI	somiteII	somiteIII	somiteSpecific
ENSMUSG00000032766	1	1	1	1	0
ENSMUSG00000036896	1	1	1	1	0
ENSMUSG00000028445	1	1	1	1	0
ENSMUSG00000001025	1	1	1	1	0
ENSMUSG00000031349	1	1	1	1	0
ENSMUSG00000000346	1	1	1	1	0
ENSMUSG00000030108	1	1	1	1	0
ENSMUSG00000030960	1	1	1	1	0
ENSMUSG00000051316	0	1	0	1	1
ENSMUSG00000004415	1	1	1	1	0
ENSMUSG00000091845	1	1	1	1	0
ENSMUSG00000048661	1	1	1	1	0
ENSMUSG00000069835	1	1	1	1	0
ENSMUSG00000092074	1	1	1	1	0
ENSMUSG00000030747	1	1	1	1	0
ENSMUSG00000021278	1	1	1	1	0
ENSMUSG00000022484	1	1	1	1	0
ENSMUSG00000045104	1	1	1	1	0
ENSMUSG00000020105	1	1	1	1	0
ENSMUSG00000023043	1	1	1	1	0
ENSMUSG00000038580	1	1	1	1	0
ENSMUSG00000031402	1	1	1	1	0
ENSMUSG00000018583	0	0	0	1	1
ENSMUSG00000062981	0	1	1	0	1
ENSMUSG00000024070	1	1	1	1	0
ENSMUSG00000059159	1	1	1	1	0
ENSMUSG00000048078	1	1	1	1	0
ENSMUSG00000023904	1	1	1	1	0
ENSMUSG00000069763	1	1	1	1	0
ENSMUSG00000058454	1	1	1	1	0
ENSMUSG00000031488	1	1	1	1	0
ENSMUSG00000063446	1	1	1	1	0
ENSMUSG00000006360	1	1	1	1	0
ENSMUSG00000061353	1	1	1	1	0
ENSMUSG00000021998	1	1	1	1	0
ENSMUSG00000042312	1	1	1	1	0
ENSMUSG00000032320	1	1	1	1	0
ENSMUSG00000036586	1	1	1	1	0
ENSMUSG00000005470	1	1	1	1	0
ENSMUSG00000027215	1	1	1	1	0
ENSMUSG00000027435	1	1	1	1	0
ENSMUSG00000081604	1	1	1	1	0
ENSMUSG00000035585	0	0	0	1	1
ENSMUSG00000020044	1	1	1	1	0
ENSMUSG00000016252	1	0	1	1	0
ENSMUSG00000021423	1	1	1	1	0
ENSMUSG00000046204	1	1	1	1	0
ENSMUSG00000028636	1	1	1	1	0
ENSMUSG00000024493	0	0	1	0	1
ENSMUSG00000016559	0	0	0	0	0
ENSMUSG00000033767	1	1	1	1	0
ENSMUSG00000007039	1	0	1	1	0
ENSMUSG00000042155	1	1	1	1	0
ENSMUSG00000026000	1	1	1	1	0
ENSMUSG00000093386	1	1	1	1	0
ENSMUSG00000074890	1	1	1	1	0
ENSMUSG00000051989	0	0	1	0	1
ENSMUSG00000062866	1	1	1	1	0
ENSMUSG00000020917	0	0	1	0	1
ENSMUSG00000021395	1	1	1	1	0
ENSMUSG00000022769	1	0	1	1	0
ENSMUSG00000030505	1	0	1	1	0
ENSMUSG00000018102	1	1	1	1	0
ENSMUSG00000025573	1	1	1	1	0
ENSMUSG00000080921	1	1	1	1	0
ENSMUSG00000026600	1	1	1	1	0
ENSMUSG00000043190	1	1	1	1	0
ENSMUSG00000024181	0	1	0	0	1
ENSMUSG00000051579	1	0	1	1	0
ENSMUSG00000096299	1	1	1	1	0
ENSMUSG00000101795	1	1	1	1	0
ENSMUSG00000037876	1	0	1	1	0
ENSMUSG00000026664	1	1	1	1	0
ENSMUSG00000025508	0	0	0	1	1
ENSMUSG00000071644	0	0	0	0	0
ENSMUSG00000031807	0	1	0	0	1
ENSMUSG00000027637	0	0	0	1	1
ENSMUSG00000001270	1	1	1	1	0
ENSMUSG00000026895	0	0	1	0	1
ENSMUSG00000069565	1	1	1	1	0
ENSMUSG00000022353	1	1	1	1	0
ENSMUSG00000054814	1	1	1	1	0
ENSMUSG00000021087	1	1	1	1	0
ENSMUSG00000038891	1	1	1	1	0
ENSMUSG00000028124	1	1	1	1	0
ENSMUSG00000024613	1	0	1	1	0
ENSMUSG00000091498	1	1	1	1	0
ENSMUSG00000020205	1	1	1	1	0
ENSMUSG00000025875	1	1	1	1	0
ENSMUSG00000020954	0	0	0	1	1
ENSMUSG00000040713	1	1	1	1	0
ENSMUSG00000097415	1	1	1	1	0
ENSMUSG00000032125	1	1	1	1	0
ENSMUSG00000026688	1	1	1	1	0
ENSMUSG00000092276	1	1	1	1	0
ENSMUSG00000091086	1	1	1	1	0
ENSMUSG00000025217	1	1	1	1	0
ENSMUSG00000079481	1	1	1	1	0
ENSMUSG00000030872	1	0	1	1	0
ENSMUSG00000034573	1	1	1	1	0
ENSMUSG00000075394	1	1	1	1	0
ENSMUSG00000041057	1	0	1	1	0
ENSMUSG00000116620	1	1	1	1	0
ENSMUSG00000080893	1	1	1	1	0
ENSMUSG00000084111	1	1	1	1	0
ENSMUSG00000028885	1	1	1	1	0
ENSMUSG00000026586	1	1	1	1	0
ENSMUSG00000024480	1	1	1	1	0
